@RELATION 'dataset_discretizado'

@ATTRIBUTE feature1 numeric
@ATTRIBUTE feature2 numeric
@ATTRIBUTE feature4 numeric
@ATTRIBUTE feature3 numeric
@ATTRIBUTE feature5 numeric
@ATTRIBUTE feature6 numeric
@ATTRIBUTE feature7 numeric
@ATTRIBUTE feature8 numeric
@ATTRIBUTE feature9 numeric
@ATTRIBUTE feature10 numeric
@ATTRIBUTE feature11 numeric
@ATTRIBUTE feature12 numeric
@ATTRIBUTE feature13 numeric
@ATTRIBUTE class hierarchical blues,blues/gospel,classical,classical/20th_century_classical,classical/chamber_music,classical/choral_music,classical/composed_music,classical/contemporary_classical,classical/opera,classical/symphony,country,country/americana,country/bluegrass,country/country_-_western,country/country_-_western/western_swing,country/rockabilly,easy_listening,easy_listening/easy_listening:_vocal,easy_listening/nu-jazz,easy_listening/lounge,electronic,electronic/ambient_electronic,electronic/breakcore_-_hard,electronic/chip_music,electronic/chip_music/chiptune,electronic/dance,electronic/downtempo,electronic/drum_-_bass,electronic/dubstep,electronic/dubstep/skweee,electronic/glitch,electronic/house,electronic/house/chill-out,electronic/idm,electronic/jungle,electronic/minimal_electronic,electronic/techno,electronic/techno/bigbeat,electronic/trip-hop,folk,folk/british_folk,folk/freak-folk,folk/free-folk,folk/psych-folk,folk/singer-songwriter,hip-hop,hip-hop/abstract_hip_hop,hip-hop/alternative_hip-hop,hip-hop/breakbeat,hip-hop/hip-hop_beats,hip-hop/nerdcore,hip-hop/rap,hip-hop/wonky,hip-hop/hiphop,jazz,jazz/big_band_swing,jazz/free-jazz,jazz/jazz:_out,jazz/jazz:_vocal,jazz/modern_jazz,old-time_historic,pop,pop/experimental_pop,pop/synth_pop,rock,rock/garage,rock/garage/surf,rock/goth,rock/indie-rock,rock/industrial,rock/krautrock,rock/lo-fi,rock/loud-rock,rock/loud-rock/noise-rock,rock/loud-rock/sludge,rock/metal,rock/metal/black-metal,rock/metal/death-metal,rock/metal/grindcore,rock/new_wave,rock/post-rock,rock/post-rock/space-rock,rock/progressive,rock/psych-rock,rock/punk,rock/punk/electro-punk,rock/punk/hardcore,rock/punk/thrash,rock/punk/no_wave,rock/punk/post-punk,rock/punk/power-pop,rock/rock_opera,rock/shoegaze,soul-rnb,soul-rnb/disco,soul-rnb/funk,soul-rnb/funk/deep_funk

@DATA
18,6,13,2,11,14,5,6,5,3,13,18,13,hip-hop
11,14,9,9,11,19,8,17,11,19,17,14,1,hip-hop
19,17,14,9,13,7,6,2,6,8,15,19,17,hip-hop
14,15,8,10,17,20,1,1,20,20,1,2,19,hip-hop
2,9,2,15,18,6,8,6,11,12,13,12,10,electronic/techno
1,10,2,15,10,8,14,13,15,16,14,16,12,electronic/techno
2,5,5,14,4,6,6,4,7,10,10,11,9,electronic/techno
2,13,3,17,17,18,17,16,15,16,19,15,11,electronic/dubstep
9,7,7,19,16,15,14,14,16,12,13,16,8,electronic/dubstep
3,13,2,7,13,16,15,16,11,6,10,14,13,electronic/dubstep
20,13,9,9,15,17,17,16,11,8,3,3,17,electronic/ambient_electronic
18,16,3,12,6,2,3,3,5,11,18,17,17,electronic/ambient_electronic
14,11,15,11,11,12,3,2,6,6,3,11,9,electronic/ambient_electronic
14,17,14,20,15,10,20,19,7,19,8,20,9,electronic/ambient_electronic
14,20,7,15,6,13,20,19,1,1,20,20,1,electronic/ambient_electronic
18,2,5,20,20,16,16,18,2,16,19,17,13,electronic/ambient_electronic
1,6,4,7,2,14,19,6,19,19,9,5,17,electronic/ambient_electronic
13,6,4,11,20,19,2,1,1,6,1,1,3,electronic/ambient_electronic
1,17,19,20,17,17,15,18,19,18,16,13,10,electronic/ambient_electronic
13,12,11,14,9,9,4,16,4,15,9,5,19,electronic
13,17,15,17,9,12,10,16,7,19,10,9,17,electronic
5,11,7,13,17,10,9,18,11,17,9,13,18,electronic
10,8,13,11,15,15,13,16,15,17,12,11,16,electronic
12,12,19,16,19,12,16,16,12,12,11,5,1,electronic
8,6,13,19,5,16,12,12,16,18,6,9,19,electronic
12,20,9,4,7,7,2,6,1,10,5,19,18,hip-hop/alternative_hip-hop
8,15,2,8,11,12,8,9,2,11,2,16,17,hip-hop/alternative_hip-hop
13,15,11,11,13,11,19,9,15,6,15,7,14,hip-hop/alternative_hip-hop
9,11,11,13,7,6,15,18,4,18,2,6,16,hip-hop
8,11,10,16,12,18,19,19,15,11,14,13,15,hip-hop
16,13,15,5,2,4,9,17,12,20,9,8,11,hip-hop
12,17,15,18,8,11,12,11,14,14,10,13,16,electronic/ambient_electronic
12,17,6,18,8,18,20,19,18,16,14,20,20,electronic/ambient_electronic
2,2,17,20,11,10,15,2,7,8,6,3,6,electronic/ambient_electronic
15,19,16,6,20,15,16,6,2,5,10,12,8,folk
15,13,15,5,19,6,9,5,1,3,3,19,4,folk
15,16,14,10,19,13,10,8,8,9,6,13,4,folk
15,19,15,17,19,8,9,3,9,18,7,8,2,folk
16,16,17,13,20,8,9,2,3,16,3,12,8,folk
14,19,8,12,18,11,14,13,13,6,2,16,7,folk
16,17,16,11,20,10,15,15,17,17,8,18,3,folk
16,19,13,6,20,7,7,10,1,13,15,20,17,folk
17,17,18,5,20,4,10,16,1,4,1,17,1,folk
16,16,19,12,20,4,4,2,1,2,3,9,9,folk
17,18,14,8,20,9,4,1,2,11,19,20,10,folk
17,14,17,14,19,5,2,2,2,3,4,7,16,folk
17,4,3,8,15,10,10,16,11,8,9,15,9,pop
10,10,3,7,12,3,15,15,10,12,1,8,4,pop
10,2,12,13,20,20,20,20,20,20,19,13,20,rock
20,5,1,4,20,20,20,6,20,5,3,20,20,electronic/ambient_electronic
18,19,15,19,7,4,13,2,14,15,16,9,17,rock/indie-rock
16,5,5,17,17,13,9,14,12,3,19,8,19,electronic/idm
1,14,9,17,9,16,12,12,13,13,12,11,9,hip-hop
6,10,8,16,16,19,17,6,7,7,4,7,5,electronic
18,14,9,1,11,3,4,3,1,9,15,5,14,pop
12,19,6,12,9,13,14,10,10,13,14,11,8,hip-hop
10,14,9,8,7,12,6,11,17,15,15,9,5,electronic
14,14,13,7,13,7,8,17,7,7,6,10,2,pop
11,15,17,4,10,2,7,20,15,13,11,10,8,pop
12,16,8,8,19,11,11,14,8,4,6,17,3,pop
9,13,13,8,13,12,12,15,2,3,4,12,1,electronic
13,20,11,7,5,10,4,8,5,19,20,14,10,pop
11,19,4,10,6,3,3,19,7,15,9,16,9,electronic
4,11,16,15,18,7,14,19,11,13,10,19,4,rock/progressive
5,10,13,5,11,10,5,5,14,10,18,10,4,rock/progressive
5,18,5,11,8,15,12,17,12,16,16,15,8,electronic/chip_music
4,14,7,9,13,7,11,13,10,18,7,13,14,electronic/chip_music
4,12,7,10,10,10,13,14,9,16,17,8,13,electronic/chip_music
5,13,4,10,15,7,5,9,6,11,3,2,4,electronic/chip_music
4,16,5,15,12,11,11,15,7,14,11,15,7,electronic/chip_music
14,17,3,5,13,13,13,13,11,4,7,4,12,electronic
19,16,9,10,8,8,14,11,6,6,7,8,6,electronic
12,19,6,12,9,13,14,10,10,13,14,11,9,electronic
15,20,14,17,15,7,10,6,10,4,8,8,5,electronic
4,14,6,18,15,19,13,6,14,10,7,12,10,electronic
13,16,12,12,13,12,12,10,9,8,7,8,12,electronic
9,18,4,16,10,16,13,15,13,9,9,10,10,electronic
8,2,2,3,6,9,1,3,15,15,17,9,5,electronic
13,16,2,10,7,12,13,15,10,6,6,4,4,electronic
11,18,10,19,8,12,16,9,6,8,4,11,7,electronic
8,10,2,1,1,4,8,6,11,11,2,4,11,electronic
15,20,8,19,14,14,15,11,12,7,10,18,10,classical/choral_music
18,3,17,1,1,20,1,15,17,7,15,19,20,classical/choral_music
17,2,19,2,1,5,1,20,5,6,4,19,15,classical/choral_music
18,3,16,1,2,20,1,11,3,6,14,20,8,classical/choral_music
18,4,19,5,1,20,1,14,18,9,17,19,18,classical/choral_music
17,3,20,1,1,20,1,20,16,14,18,19,20,classical/choral_music
17,2,15,1,2,15,1,16,6,15,10,20,1,classical/choral_music
18,3,18,1,3,16,1,9,2,5,12,20,5,classical/choral_music
16,9,18,5,4,20,1,7,20,2,20,20,15,classical/choral_music
18,4,15,1,2,18,1,12,2,5,11,20,13,classical/choral_music
17,15,17,2,1,20,2,14,13,3,10,20,20,classical/choral_music
17,2,12,1,2,17,1,7,3,3,6,18,5,classical/choral_music
17,3,19,1,1,20,1,15,17,15,16,19,16,classical/choral_music
18,4,10,1,10,20,1,9,5,12,14,19,6,classical/choral_music
18,3,19,2,1,20,1,19,12,6,16,6,19,classical/choral_music
18,3,18,2,1,20,1,17,19,17,17,19,17,classical/choral_music
18,7,17,1,1,20,1,18,18,8,14,19,20,classical/choral_music
19,4,17,1,2,14,1,16,2,3,6,20,19,classical/choral_music
19,7,12,1,3,19,1,10,2,7,8,20,17,classical/choral_music
19,5,18,1,2,20,1,14,12,5,9,19,20,classical/choral_music
18,7,18,3,1,20,1,12,17,10,16,20,20,classical/choral_music
17,6,15,1,2,20,1,13,20,6,16,17,6,classical/choral_music
4,17,16,10,18,12,11,8,16,3,18,15,5,rock/indie-rock
5,16,15,11,18,8,16,3,13,2,18,15,3,rock/indie-rock
4,16,16,9,16,6,14,5,17,3,19,17,4,rock/indie-rock
6,18,15,11,17,8,17,6,19,5,19,16,4,rock/indie-rock
5,16,14,11,17,5,9,2,17,3,16,10,2,rock/indie-rock
7,18,16,15,19,11,17,8,17,3,17,15,4,rock/indie-rock
6,17,16,9,15,5,9,7,18,3,19,17,6,rock/indie-rock
3,16,16,7,14,4,13,5,19,4,19,19,6,rock/indie-rock
5,17,15,10,15,8,12,7,17,3,18,18,7,rock/indie-rock
9,3,13,9,2,13,8,3,10,17,15,4,20,rock/lo-fi
16,8,5,2,3,3,7,3,3,10,15,6,14,rock/lo-fi
13,14,19,13,18,12,20,7,9,9,1,15,13,rock/indie-rock
9,15,19,15,16,7,20,10,12,16,1,13,11,rock/indie-rock
10,16,17,9,10,5,19,15,12,7,3,12,13,rock/indie-rock
11,13,19,7,17,2,17,8,6,9,2,12,13,rock/indie-rock
14,15,19,15,15,6,19,10,10,10,7,16,18,rock/indie-rock
11,17,16,16,17,2,19,8,6,16,4,15,17,rock/indie-rock
11,13,14,13,19,6,20,5,6,15,3,16,19,rock/indie-rock
11,20,13,18,15,8,18,13,12,16,9,3,7,pop/experimental_pop
19,11,17,1,11,19,1,8,15,19,7,20,5,classical/choral_music
18,9,18,2,3,6,1,9,16,13,7,20,8,classical/choral_music
19,10,19,2,2,7,1,4,13,16,8,19,1,classical/choral_music
17,9,12,1,2,12,1,1,6,5,11,20,4,classical/choral_music
18,11,16,1,5,15,1,3,15,12,8,20,4,classical/choral_music
17,8,17,2,2,7,1,14,19,12,7,20,3,classical/choral_music
17,11,6,1,5,10,1,2,9,17,15,20,7,classical/choral_music
19,9,17,1,3,15,1,4,17,18,13,20,1,classical/choral_music
19,5,7,1,15,20,1,3,15,20,12,17,1,classical/choral_music
15,3,2,1,12,18,1,2,12,16,7,14,1,classical/choral_music
4,4,5,1,12,11,3,11,2,14,2,1,16,pop/experimental_pop
2,9,8,3,15,10,5,11,16,17,6,8,17,pop/experimental_pop
3,16,18,17,15,6,10,16,12,7,7,13,13,pop/experimental_pop
3,17,19,8,20,2,18,18,7,19,2,15,20,pop/experimental_pop
6,16,10,2,17,5,8,6,5,13,4,12,18,pop/experimental_pop
3,12,8,3,19,10,19,9,19,11,2,13,10,pop/experimental_pop
4,17,8,9,12,18,11,13,12,11,3,15,20,pop/experimental_pop
16,11,16,14,15,6,16,7,18,12,4,2,6,pop/experimental_pop
12,10,14,13,9,4,7,4,3,11,3,17,20,pop/experimental_pop
19,13,4,14,2,16,12,9,3,2,4,3,17,pop/experimental_pop
5,19,15,15,13,11,13,17,16,3,1,7,3,folk/singer-songwriter
15,20,15,20,19,10,4,9,17,20,20,20,18,folk/singer-songwriter
9,17,17,14,12,1,7,17,8,7,18,16,8,folk/singer-songwriter
19,19,17,9,10,4,7,6,16,7,5,15,1,folk/singer-songwriter
18,17,11,3,9,4,1,6,4,4,4,19,2,folk/singer-songwriter
14,16,18,14,4,4,6,2,7,2,1,7,1,folk/singer-songwriter
18,17,16,10,9,4,2,3,5,6,8,19,5,folk/singer-songwriter
5,2,3,2,19,1,9,11,1,1,20,1,1,folk/singer-songwriter
10,8,13,15,19,7,11,3,12,9,13,8,6,rock/post-rock
10,12,8,15,8,13,14,7,13,6,7,9,11,hip-hop
12,1,17,1,12,9,9,19,4,8,6,3,4,rock/garage
7,12,7,15,18,18,16,5,13,14,14,14,12,electronic/dubstep
9,7,13,4,16,8,11,17,8,1,2,3,1,pop
19,8,16,1,1,20,1,16,11,8,13,17,19,classical/choral_music
16,18,10,13,9,9,12,12,17,5,18,16,9,rock/indie-rock
10,17,14,13,18,3,19,13,5,12,2,10,19,rock/indie-rock
17,10,12,10,3,4,2,14,15,6,10,1,5,pop/synth_pop
16,10,3,2,1,2,10,8,4,10,6,2,11,pop/synth_pop
13,4,15,7,3,8,3,11,1,4,9,1,4,pop/synth_pop
6,13,7,13,5,6,3,15,14,17,12,2,11,pop/synth_pop
18,19,13,20,5,7,2,6,6,14,13,2,16,pop/synth_pop
3,5,8,16,12,7,4,3,6,4,16,17,18,hip-hop
2,3,6,15,10,5,4,2,4,2,15,16,17,hip-hop
1,16,13,18,15,14,4,4,9,18,12,18,9,hip-hop
1,17,10,16,5,11,7,15,10,13,7,6,10,hip-hop
15,7,10,17,16,12,11,14,7,11,15,12,14,electronic/ambient_electronic
20,1,20,1,19,20,1,20,1,20,18,1,20,pop/experimental_pop
16,3,11,2,7,4,3,12,17,5,12,12,9,pop/experimental_pop
14,15,6,18,18,4,18,8,20,12,9,2,20,pop/experimental_pop
13,1,8,7,3,3,7,2,20,11,4,11,20,pop/experimental_pop
14,2,5,3,2,6,14,3,20,7,9,15,18,pop/experimental_pop
2,14,11,15,18,3,17,11,20,18,18,14,17,pop/experimental_pop
14,11,11,15,18,4,19,18,20,14,13,2,13,pop/experimental_pop
12,12,5,1,20,4,14,13,20,15,14,8,14,pop/experimental_pop
13,5,17,9,6,2,17,1,19,14,9,2,11,pop/experimental_pop
20,11,2,14,8,8,16,1,6,20,6,6,1,pop/experimental_pop
19,1,16,1,2,2,11,13,3,1,14,17,19,pop/experimental_pop
1,10,15,11,17,2,16,2,8,2,18,18,20,pop/experimental_pop
15,1,4,5,2,2,11,3,20,13,6,16,19,pop/experimental_pop
6,2,18,6,19,15,14,15,20,11,15,7,6,pop/experimental_pop
16,3,19,12,6,15,4,7,17,7,7,18,14,pop/experimental_pop
2,3,15,15,18,2,15,5,10,1,18,4,9,pop/experimental_pop
16,9,4,9,2,4,10,18,20,16,3,14,19,pop/experimental_pop
2,6,17,11,10,2,17,5,6,2,19,5,7,pop/experimental_pop
13,9,10,19,17,3,18,5,14,5,9,2,16,pop/experimental_pop
14,18,12,19,17,4,18,13,18,13,17,3,18,pop/experimental_pop
15,3,18,6,4,20,16,2,16,15,19,15,12,pop/experimental_pop
16,4,16,1,4,6,12,18,20,6,6,11,15,pop/experimental_pop
19,2,3,5,2,2,2,3,5,7,5,7,12,pop/experimental_pop
10,5,20,3,5,16,6,9,6,3,6,5,18,pop/experimental_pop
20,17,2,7,4,4,1,1,1,1,1,2,8,pop/experimental_pop
18,17,3,3,16,20,19,17,14,14,14,10,3,pop/experimental_pop
15,19,10,15,13,10,8,11,7,10,9,8,6,pop/experimental_pop
1,2,1,1,3,20,20,19,3,20,1,1,11,pop/experimental_pop
19,4,2,1,19,15,2,15,6,9,17,1,3,pop/experimental_pop
20,17,1,1,3,20,13,1,2,18,18,5,1,pop/experimental_pop
20,11,16,5,11,16,20,20,20,12,3,1,1,pop/experimental_pop
3,16,11,20,17,6,19,19,11,11,17,14,8,pop/experimental_pop
6,20,20,20,18,20,20,20,10,16,20,20,15,pop/experimental_pop
13,19,18,20,1,1,13,3,1,6,18,20,20,pop/experimental_pop
8,16,2,2,1,10,18,16,18,19,1,5,20,pop/experimental_pop
20,11,11,2,1,1,17,16,20,19,1,13,20,pop/experimental_pop
20,1,1,1,1,1,1,1,1,1,1,1,3,pop/experimental_pop
1,9,14,19,1,1,20,19,1,3,5,8,2,pop/experimental_pop
6,10,4,12,18,12,9,18,15,20,14,17,3,pop/experimental_pop
9,19,16,15,13,2,2,8,11,14,7,1,2,pop/experimental_pop
14,19,1,2,6,14,1,14,8,7,1,1,3,pop/experimental_pop
14,2,1,1,6,17,4,1,1,5,20,8,15,pop/experimental_pop
15,17,16,19,1,1,1,1,1,4,19,16,4,pop/experimental_pop
3,12,5,17,12,11,10,8,6,9,7,9,6,electronic/chip_music
1,11,9,17,13,13,12,13,14,13,12,16,14,electronic/chip_music
4,8,6,17,10,5,16,4,8,19,18,11,19,electronic/chip_music
1,9,5,17,16,15,16,18,18,18,17,18,14,electronic/chip_music
1,2,1,1,7,20,20,12,6,2,1,5,9,electronic/chip_music
2,14,8,18,4,10,12,6,14,9,5,4,9,electronic/chip_music
1,6,6,19,7,12,19,5,18,12,5,8,3,electronic/chip_music
2,2,3,18,13,20,12,10,13,12,14,6,9,electronic/chip_music
1,6,9,18,17,17,11,14,19,19,16,9,6,electronic/chip_music
2,9,11,20,17,18,16,14,16,15,14,14,15,electronic/chip_music
3,15,9,19,18,15,14,10,18,16,13,12,17,electronic/chip_music
1,5,4,10,13,13,14,11,7,4,6,11,9,electronic/chip_music
1,8,5,15,15,10,10,14,9,6,7,11,8,electronic/chip_music
1,12,20,20,12,6,19,20,14,2,4,17,19,electronic/chip_music
1,8,14,19,16,18,13,12,7,14,16,11,8,electronic/chip_music
8,17,7,18,16,20,18,20,17,19,17,20,16,electronic/chip_music
1,3,18,20,20,19,19,15,13,10,16,10,5,electronic/chip_music
1,8,9,14,14,8,7,5,9,6,8,9,9,electronic/chip_music
4,9,6,13,15,11,13,15,12,9,19,3,19,electronic/chip_music
1,14,14,15,14,15,15,14,17,17,16,19,17,electronic/chip_music
1,1,4,3,11,13,13,9,10,8,10,10,14,rock/indie-rock
1,13,11,9,13,11,17,19,16,13,15,16,18,rock/indie-rock
13,5,4,2,5,5,19,19,16,16,16,8,17,rock/indie-rock
1,16,8,6,3,17,2,8,18,6,14,20,15,rock/indie-rock
7,5,6,1,10,9,13,10,12,13,15,12,10,rock/indie-rock
2,4,3,6,11,5,13,9,16,10,15,13,13,rock/indie-rock
3,6,9,3,3,5,11,12,16,9,12,15,12,rock/indie-rock
6,19,12,4,14,3,14,14,18,3,9,10,10,rock/indie-rock
10,6,5,2,7,14,11,7,10,7,14,14,6,rock/indie-rock
11,9,4,4,8,12,14,14,13,9,7,8,8,rock/indie-rock
2,3,1,9,5,6,8,14,15,9,9,8,9,rock/indie-rock
12,8,6,4,3,2,8,16,16,9,12,12,14,rock/indie-rock
10,3,18,20,7,2,16,20,18,17,14,14,20,pop/experimental_pop
18,17,6,11,4,3,5,13,10,10,6,6,4,pop/experimental_pop
6,10,19,18,8,3,3,9,11,8,7,3,5,pop/experimental_pop
11,18,11,18,5,2,1,3,14,19,6,4,10,pop/experimental_pop
17,10,4,2,3,2,5,4,4,17,9,6,13,pop/experimental_pop
12,11,9,9,10,6,7,10,11,11,3,6,9,pop/experimental_pop
16,16,10,17,6,3,6,4,9,16,12,8,6,pop/experimental_pop
14,17,4,10,10,9,7,12,5,6,6,12,4,pop/experimental_pop
17,18,3,6,2,2,9,3,12,13,18,2,1,pop/experimental_pop
10,20,18,18,15,4,4,5,12,8,4,3,1,pop/experimental_pop
16,18,10,15,10,8,13,7,14,10,3,2,2,pop/experimental_pop
13,13,5,5,10,4,7,4,5,7,8,3,1,pop/experimental_pop
16,6,3,1,2,1,5,3,1,1,6,13,2,pop/synth_pop
18,19,13,16,15,9,8,4,1,1,1,1,13,pop/synth_pop
15,3,20,1,3,20,1,9,2,20,18,18,17,pop/synth_pop
17,2,2,1,1,1,1,19,19,9,16,2,1,pop/synth_pop
7,20,6,8,5,5,6,8,8,10,10,15,10,pop/synth_pop
17,20,10,20,8,5,1,4,7,7,5,15,13,pop/synth_pop
7,6,8,12,11,14,11,19,3,14,10,17,16,pop/synth_pop
5,4,3,5,4,3,10,7,3,1,1,1,12,pop/synth_pop
16,7,9,19,19,18,10,13,10,8,19,15,17,hip-hop
19,20,12,2,20,20,19,1,1,1,12,2,1,hip-hop
15,14,19,16,19,19,8,10,17,13,5,7,18,hip-hop
11,1,8,20,20,20,1,1,1,1,1,1,1,hip-hop
20,10,1,1,1,1,1,1,1,1,1,1,8,hip-hop
3,4,10,20,19,18,19,20,2,4,17,8,4,hip-hop
11,12,2,11,9,8,11,14,11,15,3,4,2,hip-hop
17,19,14,17,20,14,16,14,4,12,7,7,2,hip-hop
20,15,1,18,16,18,6,2,12,3,10,11,1,hip-hop
12,6,5,19,20,4,2,12,20,20,2,3,15,hip-hop
15,19,1,1,2,11,17,18,5,11,14,11,14,hip-hop
18,1,3,2,17,1,8,15,3,3,4,16,9,hip-hop
14,20,16,2,5,11,20,20,20,18,14,5,2,hip-hop
19,20,1,20,20,20,4,1,1,1,1,1,1,hip-hop
2,11,8,17,11,16,6,10,4,7,17,18,7,electronic
19,3,2,1,1,1,3,1,2,4,9,14,14,electronic
17,1,1,1,2,6,1,1,20,20,20,9,1,electronic
11,1,1,1,1,1,1,2,8,2,2,5,18,electronic
18,1,1,1,1,1,1,1,2,4,16,16,17,electronic
20,8,1,4,2,1,2,3,17,1,1,1,1,electronic
18,1,1,1,1,1,1,19,20,18,2,1,1,electronic
20,1,2,1,6,1,14,2,1,4,8,18,19,electronic
10,9,14,8,6,17,3,17,2,9,3,14,10,rock/garage
6,11,11,16,4,17,15,5,7,12,9,6,5,rock/garage
6,6,12,15,7,18,7,4,6,7,15,13,9,rock/garage
8,5,7,12,4,19,7,3,11,14,12,3,8,rock/garage
6,14,16,16,7,16,13,2,1,11,8,3,4,rock/garage
5,4,3,16,8,5,6,7,11,14,10,14,10,rock/garage
6,10,9,13,9,19,11,3,9,13,9,4,9,rock/garage
10,7,14,16,4,19,6,2,10,10,5,3,6,rock/garage
5,9,11,15,8,18,10,3,6,18,16,7,10,rock/garage
11,10,14,5,14,2,4,8,7,10,1,10,11,folk/singer-songwriter
16,14,20,3,17,4,8,5,12,18,2,2,2,folk/singer-songwriter
18,18,20,6,17,5,4,7,14,7,2,6,11,folk/singer-songwriter
17,18,18,2,18,2,7,12,10,9,1,2,13,folk/singer-songwriter
19,17,19,7,19,4,7,8,16,14,2,10,9,folk/singer-songwriter
9,19,18,5,19,3,2,8,14,6,15,11,13,folk/singer-songwriter
19,16,16,4,8,1,1,2,2,7,1,11,17,folk/singer-songwriter
9,19,5,14,11,12,10,14,11,9,10,9,3,rock/industrial
1,3,8,15,19,2,16,3,17,3,5,14,5,rock/industrial
9,2,14,15,20,20,19,15,20,4,16,4,17,rock/industrial
1,14,18,3,8,7,17,11,19,14,18,20,19,rock/industrial
3,16,1,15,10,2,20,20,4,4,17,17,11,rock/industrial
15,7,10,12,15,7,11,12,14,14,10,5,2,rock/industrial
13,9,14,7,10,7,17,7,13,12,17,13,7,rock/industrial
19,11,7,14,14,7,6,6,11,13,12,13,6,rock/industrial
20,2,17,13,14,8,18,11,10,10,14,16,18,rock/industrial
16,3,10,5,9,11,12,3,9,6,6,7,14,rock/industrial
11,16,4,16,16,17,16,19,19,16,7,10,15,rock/industrial
1,8,16,20,20,20,19,18,17,7,15,18,15,rock/industrial
6,4,12,4,5,4,12,5,14,8,6,3,5,rock/industrial
4,10,7,8,12,10,9,3,14,17,18,10,8,rock/industrial
17,8,13,8,18,5,6,13,4,14,2,16,8,rock/industrial
16,3,8,20,18,4,14,17,20,19,10,8,17,rock/industrial
6,10,8,14,4,2,4,13,4,6,19,19,13,rock/industrial
7,16,16,15,16,5,19,17,16,5,2,8,2,rock/industrial
19,15,8,9,20,20,20,20,11,10,20,16,14,rock/industrial
18,14,20,18,20,20,20,12,5,13,17,12,11,rock/industrial
13,2,11,9,16,10,11,6,3,3,4,2,3,rock/industrial
10,9,4,2,2,1,1,9,20,20,20,20,15,rock/industrial
2,12,5,7,10,8,10,6,6,7,6,6,10,rock/industrial
4,1,1,15,20,20,20,1,1,20,20,1,1,rock/industrial
20,2,20,4,19,15,7,10,17,4,17,17,2,rock/industrial
6,3,3,7,14,3,4,10,9,5,10,6,17,rock/industrial
8,19,12,11,4,4,3,9,12,14,11,4,11,pop/synth_pop
16,3,16,20,2,7,20,20,4,2,13,10,1,pop/experimental_pop
3,8,12,14,14,5,8,11,10,2,5,7,19,pop/experimental_pop
5,10,3,4,20,20,10,4,1,17,20,20,19,pop/experimental_pop
4,7,1,8,6,8,15,1,10,19,15,19,9,electronic/chip_music
5,19,9,18,12,8,9,14,11,6,5,10,8,pop/experimental_pop
18,16,14,14,7,10,6,4,8,15,13,13,14,hip-hop
19,1,1,1,1,16,6,1,3,20,20,17,19,electronic
19,11,20,5,16,7,4,4,9,13,1,16,2,folk/singer-songwriter
2,8,20,8,14,11,19,13,9,5,17,2,11,rock
10,6,20,12,14,9,17,12,17,19,19,15,9,rock/indie-rock
10,20,16,20,11,13,14,11,7,8,14,1,15,pop/experimental_pop
15,11,14,7,2,7,14,2,3,13,11,10,8,pop/experimental_pop
9,10,11,14,9,10,9,13,13,17,8,3,4,pop/experimental_pop
15,17,18,16,17,6,6,11,18,20,6,18,15,pop/experimental_pop
1,18,17,18,3,4,20,3,5,11,7,11,8,rock/metal
1,19,19,17,1,2,20,2,13,19,10,18,7,rock/metal
1,19,18,18,2,2,19,3,9,16,13,14,7,rock/metal
1,17,17,16,1,2,19,2,14,18,8,17,7,rock/metal
1,18,17,19,3,4,19,1,17,13,7,16,7,rock/metal
15,3,10,11,2,18,20,16,1,1,4,19,20,electronic/ambient_electronic
17,12,15,19,20,10,2,16,20,3,3,12,20,electronic/ambient_electronic
14,13,15,18,11,17,11,9,4,7,12,16,9,electronic/ambient_electronic
15,12,11,12,12,9,9,16,15,3,5,18,18,electronic/ambient_electronic
17,14,15,14,14,19,11,14,13,15,3,6,9,electronic/ambient_electronic
17,3,13,4,6,7,16,4,3,3,3,15,8,electronic/ambient_electronic
20,20,16,4,5,8,4,10,5,16,19,20,20,electronic/ambient_electronic
15,19,18,20,20,19,20,19,14,20,20,11,4,electronic/ambient_electronic
1,6,4,18,15,4,2,20,11,1,17,11,18,electronic/ambient_electronic
20,8,6,6,20,6,9,20,2,19,1,19,13,electronic/ambient_electronic
20,18,12,19,17,8,5,10,16,19,14,12,8,electronic/ambient_electronic
20,20,15,6,15,19,19,13,13,13,15,19,12,electronic/ambient_electronic
18,18,19,16,20,20,15,20,4,3,2,7,16,electronic/ambient_electronic
20,1,15,2,7,2,16,11,2,16,20,14,1,electronic/ambient_electronic
8,7,16,15,12,17,7,11,11,13,16,14,11,rock/punk/post-punk
8,7,15,14,7,16,6,12,8,13,15,13,5,rock/punk/post-punk
10,7,18,17,8,19,7,16,6,10,16,9,6,rock/punk/post-punk
13,7,10,6,12,2,5,6,2,12,4,14,2,pop/experimental_pop
10,17,9,7,12,8,19,7,14,19,18,4,6,rock/loud-rock/noise-rock
11,17,6,7,9,9,18,6,14,19,17,8,10,rock/loud-rock/noise-rock
12,18,8,8,10,11,18,10,16,20,17,7,9,rock/loud-rock/noise-rock
12,15,8,11,14,7,18,13,18,19,18,6,3,rock/metal
12,14,6,10,16,15,18,11,16,15,17,10,14,rock/metal
11,13,13,9,17,7,20,9,19,19,19,8,4,rock/metal
14,7,8,6,6,11,3,4,4,14,8,5,13,pop/experimental_pop
19,11,9,13,12,12,1,1,2,10,5,4,9,pop/experimental_pop
1,1,1,3,13,6,11,2,3,1,2,5,18,electronic/chip_music/chiptune
